	Family	Genus	Sample	Nuccore_id	CP_accession	Nano_CP_Nuccore_ids
ACT79063.1	Geminiviridae	Begomovirus	Tomato leaf curl Vietnam virus	254681948	ACT79060.1	
ABS83258.1	Geminiviridae	Begomovirus	Sweet potato leaf curl Canary virus	240015542	ABS83257.1	
CEN60845.1	Geminiviridae	Begomovirus	Tomato leaf curl Gujarat virus	959201580	CEN60842.1	
AAF63746.1	Geminiviridae	Begomovirus	Bhendi yellow vein mosaic virus-[Madurai]	7546994	AAF63751.1	
AOT83431.1	Geminiviridae	Begomovirus	Sida angular mosaic virus	1072901123	AOT83435.1	
ADG36411.1	Geminiviridae	Begomovirus	Soybean mild mottle virus	295821088	ADG36410.1	
AGH27789.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	465487537	AGH27786.1	
CAJ98461.1	Geminiviridae	Begomovirus	Malvastrum leaf curl virus	113927077	CAJ98458.1	
ABC87989.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl Mali virus-[Ethiopia]	86277290	ABC87988.1	
AFP53912.1	Geminiviridae	Capulavirus	French bean severe leaf curl virus	399892930	AFP53911.1	
AHG95953.1	Geminiviridae	Capulavirus	French bean severe leaf curl virus	575498330	AHG95949.1	
AKQ51600.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	887516980	AKQ51599.1	
AKQ51601.2	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	887516980	AKQ51599.1	
ANA76136.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610888	ANA76134.1	
ANA76137.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610888	ANA76134.1	
ANA76142.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610895	ANA76140.1	
ANA76149.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610902	ANA76147.1	
ANA76150.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610902	ANA76147.1	
ANA76156.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610910	ANA76154.1	
ANA76163.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610918	ANA76161.1	
ANA76164.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610918	ANA76161.1	
ANA76183.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610942	ANA76182.1	
ANA76184.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610942	ANA76182.1	
ANA76189.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610949	ANA76187.1	
ANA76194.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610955	ANA76192.1	
ANA76195.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610955	ANA76192.1	
ANA76206.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610969	ANA76204.1	
ANA76207.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610969	ANA76204.1	
ANA76219.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610983	ANA76216.1	
ANA76230.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610997	ANA76228.1	
ANA76231.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022610997	ANA76228.1	
ANA76242.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022611011	ANA76240.1	
ANA76243.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022611011	ANA76240.1	
ANA76259.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022611031	ANA76257.1	
ANA76277.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022611052	ANA76275.1	
ANA76278.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1022611052	ANA76275.1	
ANA76296.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611073	ANA76294.1	
ANA76297.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611073	ANA76294.1	
ANA76303.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611081	ANA76301.1	
ANA76304.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611081	ANA76301.1	
ANA76310.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611089	ANA76308.1	
ANA76311.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611089	ANA76308.1	
ANA76324.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611105	ANA76322.1	
ANA76325.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611105	ANA76322.1	
ANA76331.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611113	ANA76329.1	
ANA76332.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611113	ANA76329.1	
ANA76338.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611121	ANA76336.1	
ANA76339.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611121	ANA76336.1	
ANA76345.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611129	ANA76343.1	
ANA76346.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611129	ANA76343.1	
ANA76352.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611137	ANA76350.1	
ANA76353.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611137	ANA76350.1	
ANA76359.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611145	ANA76357.1	
ANA76360.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611145	ANA76357.1	
ANA76366.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611153	ANA76364.1	
ANA76367.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611153	ANA76364.1	
ANA76373.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611161	ANA76371.1	
ANA76374.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611161	ANA76371.1	
ANA76380.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611169	ANA76378.1	
ANA76381.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	1022611169	ANA76378.1	
ANA76386.1	Geminiviridae	Capulavirus	Plantago lanceolata latent virus	1022611177	ANA76384.1	
ANA76387.1	Geminiviridae	Capulavirus	Plantago lanceolata latent virus	1022611177	ANA76384.1	
ANA76392.1	Geminiviridae	Capulavirus	Plantago lanceolata latent virus	1022611184	ANA76390.1	
ANA76393.1	Geminiviridae	Capulavirus	Plantago lanceolata latent virus	1022611184	ANA76390.1	
AQW44821.1	Geminiviridae	Capulavirus	French bean severe leaf curl virus	1152729615	AQW44820.1	
ARQ32250.2	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1281072000	ARQ32249.2	
ARQ32251.1	Geminiviridae	Capulavirus	Alfalfa leaf curl virus	1281072000	ARQ32249.2	
CCV02660.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	521258515	CCV02658.1	
CCV02667.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	521258523	CCV02665.1	
CCV02856.1	Geminiviridae	Capulavirus	Euphorbia caput-medusae latent virus	521258531	CCV02854.1	
AAB18926.1	Geminiviridae	Curtovirus	Horseradish curly top virus	1255058	AAB18924.1	
AAC54875.1	Geminiviridae	Curtovirus	Beet mild curly top virus - Worland]	1336173	AAC54874.1	
AAK59260.1	Geminiviridae	Curtovirus	Beet curly top virus - California Logan/Arabidopsis]	14290110	AAK59258.1	
AAS86154.1	Geminiviridae	Curtovirus	Beet curly top virus	46254384	AAS86153.1	
ABQ12764.1	Geminiviridae	Curtovirus	Beet curly top virus	146230722	ABQ12761.1	
ABW74013.1	Geminiviridae	Curtovirus	Beet curly top virus	158562141	ABW74010.1	
ACB97656.1	Geminiviridae	Curtovirus	Beet curly top virus	182636881	ACB97652.1	
ACB97660.1	Geminiviridae	Curtovirus	Beet curly top virus	182636889	ACB97659.1	
ACH48060.1	Geminiviridae	Curtovirus	Pepper yellow dwarf virus - New Mexico	197210074	ACH48057.1	
ACM44491.1	Geminiviridae	Curtovirus	Beet curly top virus	222105827	ACM44488.1	
ADM64623.2	Geminiviridae	Curtovirus	Spinach severe curly top virus	307334056	ADM64621.1	
ADN84087.1	Geminiviridae	Curtovirus	Beet curly top virus	307646254	ADN84084.1	
AFD23482.1	Geminiviridae	Curtovirus	Beet curly top virus	379995985	AFD23480.1	
AFV31442.1	Geminiviridae	Curtovirus	Beet curly top virus	409194223	AFV31439.1	
ALF37673.1	Geminiviridae	Curtovirus	Beet curly top virus	930010042	ALF37670.1	
ALF37701.1	Geminiviridae	Curtovirus	Beet curly top virus	930010074	ALF37698.1	
ALF37715.1	Geminiviridae	Curtovirus	Beet curly top virus	930010090	ALF37712.1	
ALF37729.1	Geminiviridae	Curtovirus	Beet curly top virus	930010106	ALF37726.1	
ALF37736.1	Geminiviridae	Curtovirus	Beet curly top virus	930010114	ALF37733.1	
ALF37743.1	Geminiviridae	Curtovirus	Beet curly top virus	930010122	ALF37740.1	
ALF37806.1	Geminiviridae	Curtovirus	Beet curly top virus	930010194	ALF37803.1	
ALF37813.1	Geminiviridae	Curtovirus	Beet curly top virus	930010202	ALF37810.1	
AMD16395.1	Geminiviridae	Curtovirus	Beet curly top virus	985578018	AMD16392.1	
AMD16402.1	Geminiviridae	Curtovirus	Beet curly top virus	985578026	AMD16399.1	
AMD16416.1	Geminiviridae	Curtovirus	Beet curly top virus	985578042	AMD16413.1	
AMD16423.1	Geminiviridae	Curtovirus	Beet curly top virus	985578050	AMD16420.1	
AMD16444.1	Geminiviridae	Curtovirus	Beet curly top virus	985578074	AMD16441.1	
AMD16458.1	Geminiviridae	Curtovirus	Beet curly top virus	985578090	AMD16455.1	
AMD16465.1	Geminiviridae	Curtovirus	Beet curly top virus	985578098	AMD16462.1	
AMD16493.1	Geminiviridae	Curtovirus	Beet curly top virus	985578130	AMD16490.1	
AMD16514.1	Geminiviridae	Curtovirus	Beet curly top virus	985578154	AMD16511.1	
AMD16521.1	Geminiviridae	Curtovirus	Beet curly top virus	985578162	AMD16518.1	
AMD16528.1	Geminiviridae	Curtovirus	Beet curly top virus	985578170	AMD16525.1	
AMD16535.1	Geminiviridae	Curtovirus	Beet curly top virus	985578178	AMD16532.1	
AMD16542.1	Geminiviridae	Curtovirus	Beet curly top virus	985578186	AMD16539.1	
ANY59195.1	Geminiviridae	Curtovirus	Beet curly top virus	1049566946	ANY59194.1	
ANY59210.1	Geminiviridae	Curtovirus	Beet curly top virus	1049566962	ANY59208.1	
APB53916.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613844	APB53913.1	
APB53923.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613852	APB53920.1	
APB53930.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613860	APB53927.1	
APB53979.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613916	APB53976.1	
APB54014.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613956	APB54011.1	
APB54021.1	Geminiviridae	Curtovirus	Beet curly top virus	1100613964	APB54018.1	
APB54063.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614012	APB54060.1	
APB54077.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614028	APB54074.1	
APB54084.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614036	APB54081.1	
APB54126.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614084	APB54123.1	
APB54140.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614100	APB54137.1	
APB54154.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614116	APB54151.1	
APB54175.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614140	APB54172.1	
APB54182.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614148	APB54179.1	
APB54210.1	Geminiviridae	Curtovirus	Beet curly top virus	1100614180	APB54207.1	
ARR74675.1	Geminiviridae	Curtovirus	Pepper yellow dwarf virus - Mexico	1193829771	ARR74674.1	
AFV73367.1	Geminiviridae	Grablovirus	Grapevine geminivirus	410519388	AFV73364.1	
AHL69795.1	Geminiviridae	Grablovirus	Grapevine red blotch virus	594021570	AFI71938.1	
AMN10092.1	Geminiviridae	Grablovirus	Grapevine red blotch virus	1002359476	AMN10089.1	
AMQ35523.1	Geminiviridae	Grablovirus	Grapevine red blotch virus	1005925242	AMQ35520.1	
AMQ35565.1	Geminiviridae	Grablovirus	Grapevine red blotch virus	1005925291	AMQ35562.1	
CRL92590.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	1210278168	CRL92589.1	
AHM88386.1	Geminiviridae	Mastrevirus	Urochloa streak virus	595644587	AHM88384.1	
CAP69810.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	165993336	CAP69808.1	
AGT45308.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530744962	AGT45307.1	
AHX74128.1	Geminiviridae	Mastrevirus	Sugarcane white streak virus	617006694	AHX84146.1	
ACF40510.1	Geminiviridae	Mastrevirus	Maize streak virus	194294908	ACF40509.1	
CCW72628.1	Geminiviridae	Mastrevirus	Barley dwarf virus	549140570	CCW72627.1	
AFN80590.1	Geminiviridae	Mastrevirus	Paspalum striate mosaic virus	395864082	AFN80588.1	
APZ86044.1	Geminiviridae	Mastrevirus	Maize streak virus	1139736708	APZ86045.1	
AGT45357.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530745022	AGT45355.1	
AIY33418.1	Geminiviridae	Mastrevirus	Maize streak virus	725825599	AIY33415.1	
AIY32768.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826119	AIY32769.1	
AIY33108.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826544	AIY33109.1	
AEL32196.1	Geminiviridae	Mastrevirus	Maize streak virus	342720169	AEL32195.1	
AFD63001.1	Geminiviridae	Mastrevirus	Chickpea chlorosis Australia virus	380505382	AFD63000.1	
AFC17174.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	378529671	AFC17173.1	
AFD63002.1	Geminiviridae	Mastrevirus	Chickpea chlorosis Australia virus	380505382	AFD63000.1	
AAF97756.1	Geminiviridae	Mastrevirus	Maize streak virus - B[Vaalhart wheat]	9719344	AAF97754.1	
AIT39772.1	Geminiviridae	Mastrevirus	Switchgrass mosaic-associated virus	696121134	AIT39770.1	
ANO40450.1	Geminiviridae	Mastrevirus	Sugarcane striate virus	1041498344	ANO40449.1	
AIY33166.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826614	AIY33165.1	
APM86254.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	1114666790	APM86253.1	
CRL92591.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	1210278168	CRL92589.1	
APZ86031.1	Geminiviridae	Mastrevirus	Maize streak virus	1139736693	APZ86033.1	
AGT45380.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530745052	AGT45379.1	
AHM88353.1	Geminiviridae	Mastrevirus	Maize streak virus	595644547	AHM88352.1	
AHZ62881.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	635009266	AHZ62879.1	
AIY33238.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826704	AIY33237.1	
AEZ00923.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	374256115	AEZ00922.1	
ACF40483.1	Geminiviridae	Mastrevirus	Maize streak virus	194294872	ACF40482.1	
AIY33180.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826634	AIY33181.1	
AIK26732.1	Geminiviridae	Mastrevirus	Maize streak virus	673386938	AIK26731.1	
AEJ87206.2	Geminiviridae	Mastrevirus	Wheat dwarf India virus	402756055	AEJ87205.2	
ACF40573.1	Geminiviridae	Mastrevirus	Maize streak virus	194294992	ACF40572.1	
AAK73430.1	Geminiviridae	Mastrevirus	Maize streak virus - A[Ama]	14794640	AAK73428.1	
ATL75558.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	1264204175	ATL75556.1	
AFD63082.1	Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus-A	380505482	AFD63080.1	
CAP69809.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	165993336	CAP69808.1	
AST11837.1	Geminiviridae	Mastrevirus	Maize striate mosaic virus	1229249310	AST11836.1	
AIY32898.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826279	AIY32897.1	
AFN80696.1	Geminiviridae	Mastrevirus	Chloris striate mosaic virus	395864215	AFN80694.1	
AGT45441.1	Geminiviridae	Mastrevirus	Chickpea chlorosis Australia virus	530745127	AGT45439.1	
AQY19098.1	Geminiviridae	Mastrevirus	Maize streak virus	1158626026	AQY19099.1	
AMN14227.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	1002402643	AMN14226.1	
AAF97759.1	Geminiviridae	Mastrevirus	Maize streak virus - A[Vaalhart maize]	9719349	AAF97758.1	
APZ85923.1	Geminiviridae	Mastrevirus	Maize streak virus	1139736558	APZ85925.1	
AIY33305.1	Geminiviridae	Mastrevirus	Panicum streak virus	725825459	AIY33303.1	
ACF40492.1	Geminiviridae	Mastrevirus	Maize streak virus	194294884	ACF40491.1	
AGT45348.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530745012	AGT45347.1	
APZ86337.1	Geminiviridae	Mastrevirus	Maize streak virus	1139737073	APZ86334.1	
AOT83580.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	1072936630	AOT83579.1	
AIY33422.1	Geminiviridae	Mastrevirus	Maize streak virus	725825604	AIY33419.1	
AFN80719.1	Geminiviridae	Mastrevirus	Sporobolus striate mosaic virus 2	395864245	AFN80718.1	
ADA67965.1	Geminiviridae	Mastrevirus	Panicum streak virus	281398278	ADA67964.1	
AFN80658.1	Geminiviridae	Mastrevirus	Paspalum dilatatum striate mosaic virus	395864167	AFN80656.1	
AST11838.1	Geminiviridae	Mastrevirus	Maize striate mosaic virus	1229249310	AST11836.1	
AFN80566.1	Geminiviridae	Mastrevirus	Digitaria ciliaris striate mosaic virus	395864052	AFN80564.1	
AKP95628.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	874509997	AKP95627.1	
APM86285.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	1114666828	APM86283.1	
AAD49109.1	Geminiviridae	Mastrevirus	Sugarcane streak Reunion virus	5732446	AAD49108.1	
AIY33753.1	Geminiviridae	Mastrevirus	Maize streak virus	725826019	AIY33751.1	
AGT45445.1	Geminiviridae	Mastrevirus	Chickpea chlorosis Australia virus	530745132	AGT45443.1	
ARR74913.1	Geminiviridae	Mastrevirus	Sweetpotato symptomless mastrevirus 1	1193830325	ARR74912.1	
AGT45429.1	Geminiviridae	Mastrevirus	Chickpea chlorosis Australia virus	530745112	AGT45427.1	
AFD63007.1	Geminiviridae	Mastrevirus	Chickpea chlorosis virus-E	380505392	AFD63009.1	
AFD62962.1	Geminiviridae	Mastrevirus	Chickpea chlorosis virus-A	380505332	AFD62960.1	
ACP28893.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	227434211	ACP28892.1	
ARR74909.1	Geminiviridae	Mastrevirus	Sweetpotato symptomless mastrevirus 1	1193830319	ARR74907.1	
AGT45336.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530744997	AGT45335.1	
ADN93260.1	Geminiviridae	Mastrevirus	Digitaria didactyla striate mosaic virus	307752551	ADN93258.1	
AIY32710.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826044	AIY32709.1	
AIY33100.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826534	AIY33101.1	
ARR74888.1	Geminiviridae	Mastrevirus	Sweetpotato symptomless mastrevirus 1	1193830295	ARR74887.1	
APZ86285.1	Geminiviridae	Mastrevirus	Maize streak virus	1139737008	APZ86282.1	
ACP28917.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	227434244	ACP28916.1	
AGW16399.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus D	544207340	AGW16397.1	
ADA67959.1	Geminiviridae	Mastrevirus	Panicum streak virus	281398270	ADA67958.1	
AFN80585.1	Geminiviridae	Mastrevirus	Paspalum striate mosaic virus	395864077	AFN80584.1	
APD29086.1	Geminiviridae	Mastrevirus	Sugarcane chlorotic streak virus	1104312838	APD29083.1	
AFD62974.1	Geminiviridae	Mastrevirus	Chickpea chlorosis virus-C	380505347	AFD62972.1	
AHM88354.1	Geminiviridae	Mastrevirus	Maize streak virus	595644547	AHM88352.1	
APZ86425.1	Geminiviridae	Mastrevirus	Maize streak virus	1139737183	APZ86422.1	
CCI88381.1	Geminiviridae	Mastrevirus	Cotton mastrevirus	571256577	CCI88379.1	
ABZ79678.1	Geminiviridae	Mastrevirus	Panicum streak virus	167380522	ABZ79677.1	
AHM88320.1	Geminiviridae	Mastrevirus	Axonopus compressus streak virus	595644507	AHM88322.1	
AIY33150.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826594	AIY33149.1	
AFJ15134.1	Geminiviridae	Mastrevirus	Maize streak Reunion virus	386648176	AFJ15133.1	
AIY33062.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826484	AIY33061.1	
AFD63087.1	Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus-A	380505492	AFD63088.1	
AIY33297.1	Geminiviridae	Mastrevirus	Sugarcane streak Reunion virus	725825449	AIY33295.1	
AIY32720.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826059	AIY32721.1	
AGT45384.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	530745057	AGT45383.1	
AIY33168.1	Geminiviridae	Mastrevirus	Chickpea chlorotic dwarf virus	725826619	AIY33169.1	
AFD63005.1	Geminiviridae	Mastrevirus	Chickpea chlorosis virus-E	380505387	AFD63004.1	
APM86263.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	1114666800	APM86261.1	
APZ86193.1	Geminiviridae	Mastrevirus	Maize streak virus	1139736893	APZ86190.1	
AFN80646.1	Geminiviridae	Mastrevirus	Paspalum dilatatum striate mosaic virus	395864152	AFN80644.1	
AEL31971.1	Geminiviridae	Mastrevirus	Maize streak virus	342719869	AEL31970.1	
AFD63078.1	Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus-A	380505477	AFD63076.1	
ACM68959.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	222875608	ACM68957.1	
ADJ58423.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930424	ADJ58421.1	
ADJ58429.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930431	ADJ58427.1	
ADJ58440.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930445	ADJ58439.1	
AFK64739.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	388540048	AFK64736.1	
AGA19519.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000493	AGA19516.1	
AGA19531.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000507	AGA19528.1	
AGA19549.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000528	AGA19546.1	
AGA19555.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000535	AGA19552.1	
AGA19561.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000542	AGA19558.1	
AGA19573.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000556	AGA19570.1	
AGA19579.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000563	AGA19576.1	
ALR86739.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514859	ALR86736.1	
ALR86757.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514880	ALR86754.1	
ALR86775.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514901	ALR86772.1	
ALR86781.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514908	ALR86778.1	
ALR86793.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514922	ALR86790.1	
ALR86811.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514943	ALR86808.1	
ALR86823.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514957	ALR86820.1	
ALR86829.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514964	ALR86826.1	
ALR86865.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515006	ALR86862.1	
ALR86871.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515013	ALR86868.1	
ALR86883.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515027	ALR86880.1	
API65452.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	1111690322	API65456.1	
AJC52529.1	Genomoviridae	Gemycircularvirus	Bromus-associated circular DNA virus 3	743759559	AJC52528.1	
ANC51573.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 4	1025711688	ANC51572.1	
AMH87718.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391375	AMH87716.1	
AIF34846.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 11	664651444	AIF34845.1	
AMH87675.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-4	992391319	AMH87674.1	
ANC51597.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 16	1025711720	ANC51596.1	
ASH99151.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149481	ASH99149.1	
ASH99166.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149501	ASH99164.1	
AMH87699.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-9	992391351	AMH87698.1	
ANC51574.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 4	1025711688	ANC51572.1	
AMH87717.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391375	AMH87716.1	
ALM62252.2	Genomoviridae	Gemycircularvirus	Soybean leaf-associated gemycircularvirus 1	953099534	ALM62251.2	
ANC51616.1	Genomoviridae	Gemycircularvirus	Sewage associated gemycircularvirus 3	1025711744	ANC51614.1	
AMH87706.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-10	992391359	AMH87704.1	
AIF34854.1	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus-10a	664651456	AIF34856.1	
AMH87720.1	Genomoviridae	Gemycircularvirus	Pacific flying fox faeces associated gemycircularvirus-11	992391379	AMH87719.1	
ALC04311.1	Genomoviridae	Gemycircularvirus	Gemycircularvirus gemy-ch-rat1	924502261	ALC04310.1	
AGU67671.1	Genomoviridae	Gemycircularvirus	Faecal-associated gemycircularvirus 1b	537368005	AGU67670.1	
ANC51604.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 16	1025711728	ANC51602.1	
ANC51586.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 21	1025711704	ANC51584.1	
ASH99181.1	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus	1214149521	ASH99179.1	
ANC51601.1	Genomoviridae	Gemycircularvirus	Faeces associated gemycircularvirus 19	1025711724	ANC51599.1	
ANN22655.1	Genomoviridae	Gemycircularvirus	Gemycircularvirus HV-GcV1	1039699134	ANN22654.1	
